name,short_desc,volume,commercial_rater,commercial_rating,customer_rating,customer_rating_no,price
Dewar's,"Rich, Honey, Vanilla, Balanced",1.75L,,,4,10,$31.99 
Johnnie Walker Black,"Rich, Smoke, Oak, Balanced",1.75L,Wine Enthusiast,90,4.4,10,$59.99 
Johnnie Walker Red,"Light, Spice, Smoke, Oak, Balanced",1.75L,,,4.4,5,$32.99 
Macallan 12 Yr,"Rich, Fruit, Spice, Balanced",750ml,,,4.5,13,$54.99 
Glenlivet 12 Yr,"Rich, Vanilla, Oak, Balanced",1.75L,Wine Enthusiast,90,3.7,12,$77.99 
Johnnie Walker Blue,"Rich, Smoke, Honey, Spice, Long",750ml,Wine Enthusiast,95,4.1,10,$179.99 
Glenlivet 12 Yr,"Rich, Vanilla, Oak, Balanced",750ml,Wine Enthusiast,90,3.7,12,$39.99 
Grangestone Bourbon Cask Finish,"Rich, Citrus, Oak, Balanced",750ml,,,4.4,10,$24.99 
Chivas Regal,"Rich, Grain, Floral, Balanced",1.75L,,,4.5,2,$55.99 
Johnnie Walker Black,"Rich, Smoke, Oak, Balanced",750ml,Wine Enthusiast,90,4.4,10,$26.99 
Balvenie 12 Yr Double Wood,"Rich, Honey, Vanilla, Long",750ml,Beverage Testing Institute,90,4.6,12,$51.99 
Shieldaig Speyside Single Malt 18Yr,"Rich, Herbal, Oak, Long",750ml,Wine Enthusiast,92,3.8,11,$42.99 
Famous Grouse,"Rich, Toast, Oak, Spice, Balanced",1.75L,,,4.4,7,$32.99 
Clan MacGregor,"Light, Fruit, Floral, Balanced",1.75L,,,4,7,$16.99 
J & B Scotch,"Light, Herbal, Nut, Balanced",1.75L,,,5,1,$35.99 
Johnnie Walker Double Black,"Rich, Smoke, Oak, Long",750ml,Beverage Testing Institute,93,4.4,9,$31.99 
Lagavulin 16 Yr,"Intense, Smoke, Peat, Balanced",750ml,Whiskey Advocate,94,4.8,24,$69.99 
Glenmorangie The Original,"Delicate, Malt, Fruit, Balanced",750ml,Whiskey Advocate,93,4.5,20,$37.99 
Chivas Regal,"Rich, Grain, Floral, Balanced",750ml,,,4.5,2,$24.99 
Glenfiddich 12 Yr,"Rich, Peat, Oak, Balanced",750ml,Beverage Testing Institute,89,3.6,7,$41.99 
Scoresby,"Light, Pepper, Mild",1.75L,,,,,$28.99 
Buchanan's 12 Yr,,750ml,Beverage Testing Institute,90,5,1,$34.99 
Oban 14 Yr,"Rich, Citrus, Peat, Smoke, Long",750ml,,,5,7,$69.99 
Glenlivet 18 Yr,"Rich, Spice, Oak, Long",750ml,Wine Enthusiast,93,4.5,4,$119.99 
Macallan Fine Oak 15 Yr,"Rich, Wood, Balanced",750ml,Whiskey Advocate,92,4.7,3,$99.99 
Shieldaig Speyside Single Malt 12Yr,"Delicate, Spice, Smoke, Oak, Balanced",750ml,Wine Enthusiast,92,4,8,$27.99 
Cutty Sark,"Delicate, Oak, Vanilla, Mild",1.75L,,,4.3,3,$26.99 
Balvenie 14 Yr Caribbean Cask,"Intense, Oak, Toffee, Long",750ml,Beverage Testing Institute,91,4.5,6,$61.99 
Laphroaig 10 Yr,"Rich, Peat, Malt, Long",750ml,Whiskey Advocate,92,4.5,8,$52.99 
Glenlivet French Oak 15 Yr,"Rich, Oak, Fruit, Long",750ml,Wine Enthusiast,91,3.7,3,$52.99 
Johnnie Walker Black,"Rich, Smoke, Oak, Balanced",1L,Wine Enthusiast,90,4.4,10,$48.99 
Johnnie Walker Platinum,,750ml,,,5,6,$99.99 
Chivas Regal 18 Yr,,750ml,Whiskey Advocate,95,5,3,$51.99 
Glenfiddich 15 Yr,"Rich, Sherry, Spice, Long",750ml,Beverage Testing Institute,91,4.1,7,$62.99 
Glenmorangie Quinta Ruban,"Rich, Butterscotch, Mint, Balanced",750ml,Wine Enthusiast,91,4.8,8,$54.99 
Macallan 12 Yr,"Rich, Fruit, Spice, Balanced",1.75L,,,4.5,13,$129.99 
Glenmorangie Lasanta,"Rich, Orange, Chocolate, Balanced",750ml,Wine Enthusiast,93,3.6,5,$54.99 
Glenmorangie 18 Yr,"Rich, Fruit, Nut, Long",750ml,Wine Enthusiast,90,5,1,$119.99 
Johnnie Walker Gold Label Reserve,,750ml,,,,,$87.99 
Shieldaig 'The Classic' Blend,"Delicate, Spice, Smoke, Oak, Balanced",1.75L,,,3.4,7,$24.99 
Glenlivet 12 Yr,"Rich, Vanilla, Oak, Balanced",1L,Wine Enthusiast,90,3.7,12,$59.99 
Dalwhinnie  15 Yr,"Rich, Toast, Oak, Smoke, Balanced",750ml,,,4.6,5,$56.99 
Glen Ness Single Malt,"Rich, Oak, Nut, Long",1.75L,Wine Enthusiast,90,3,14,$29.99 
Old Crofter Scotch,"Rich, Honey, Vanilla, Balanced",1.75L,,,4.4,8,$24.99 
Glenmorangie Nectar D'or,"Rich, Citrus, Spice, Long",750ml,Wine Enthusiast,95,4.3,6,$69.99 
Glenfiddich 12 Yr,"Rich, Peat, Oak, Balanced",1.75L,Beverage Testing Institute,89,3.6,7,$99.99 
Shieldaig 'The Classic' Blend 12Yr,"Rich, Smoke, Oak, Balanced",1.75L,,,4,2,$37.99 
Grangestone 30 Year Blend,"Intense, Oak, Honey, Vanilla, Long",750ml,,,5,3,$89.99 
Aberlour A'bunadh,"Intense, Spice, Sherry, Long",750ml,Whiskey Advocate,90,4.9,17,$83.99 
